name,tags,level,area
東京科学大学,国立|理系|医工融合,S,東京都
東京大学,国立|総合|旧帝大,S,東京都
京都大学,国立|総合|旧帝大,S,京都府
筑波大学,国立|総合|研究大学,A,茨城県
東北大学,国立|総合|旧帝大,S,宮城県
大阪大学,国立|総合|旧帝大,S,大阪府
北海道大学,国立|総合|旧帝大,A,北海道
九州大学,国立|総合|旧帝大,A,福岡県
慶應義塾大学,私立|総合|難関,A,東京都
早稲田大学,私立|総合|難関,A,東京都
名古屋大学,国立|総合|旧帝大,A,愛知県
