name
AI・データサイエンス
計算機科学・ソフトウェア
セキュリティ・プライバシー
ネットワーク・通信・信号
電気電子・半導体
制御・システム
ロボティクス・自律システム
機械・ものづくり・航空宇宙
土木・建築・都市
材料・デバイス・ナノ
化学・化学工学
物理・宇宙
数学・統計
地球・環境・気候
エネルギー・資源
生命科学・バイオ
医学・公衆衛生・薬学
農学・食品
経済学・計量
金融・会計・フィンテック
経営・マーケ・イノベ
政策・法・国際関係
社会・人文
語学・アカデミックスキル
研究手法（横串）
